Depth(m) Kohnen_density Diez_density YanYang_P_density YanYang_S_density
0 0.3466 0.3380 0.3628 0.3614
2 0.4253 0.4717 0.4284 0.4708
4 0.4520 0.4982 0.4503 0.4917
6 0.4748 0.5168 0.4691 0.5062
8 0.4951 0.5318 0.4858 0.5179
10 0.5137 0.5445 0.5010 0.5278
12 0.5303 0.5557 0.5147 0.5364
14 0.5452 0.5655 0.5271 0.5441
16 0.5588 0.5745 0.5382 0.5511
18 0.5711 0.5829 0.5485 0.5577
20 0.5822 0.5906 0.5577 0.5636
22 0.5923 0.5980 0.5662 0.5691
24 0.6018 0.6050 0.5739 0.5745
26 0.6103 0.6117 0.5812 0.5797
28 0.6183 0.6184 0.5881 0.5848
30 0.6260 0.6249 0.5945 0.5898
32 0.6329 0.6310 0.6003 0.5946
34 0.6395 0.6372 0.6061 0.5994
36 0.6459 0.6431 0.6113 0.6038
38 0.6518 0.6488 0.6164 0.6083
40 0.6576 0.6545 0.6213 0.6126
42 0.6625 0.6600 0.6257 0.6169
44 0.6676 0.6654 0.6303 0.6212
46 0.6727 0.6707 0.6346 0.6252
48 0.6776 0.6762 0.6387 0.6293
54 0.6915 0.6918 0.6509 0.6412
64 0.7121 0.7158 0.6690 0.6599
74 0.7305 0.7382 0.6856 0.6775
84 0.7482 0.7598 0.7020 0.6947
94 0.7644 0.7801 0.7169 0.7111
114 0.7948 0.8190 0.7463 0.7428
144 0.8357 0.8711 0.7884 0.7885
174 0.8703 0.9119 0.8270 0.8305
200 0.8960 0.9170 0.8600 0.8664
