Depth(m) Vp(km/s) Vs(km/s) density(g/cm3) mu(GPa) lambda(GPa) Rate
0 0.4269 0.3640 0.3631 0.0481 0.0103 0.0882
2 0.7241 0.5016 0.3836 0.0965 0.0809 0.2280
4 1.0776 0.6654 0.4112 0.1821 0.2142 0.2703
6 1.3206 0.7781 0.4325 0.2619 0.3161 0.2735
8 1.6159 0.9152 0.4615 0.3866 0.4935 0.2803
10 1.7155 0.9614 0.4722 0.4364 0.5414 0.2768
12 1.9295 1.0609 0.4968 0.5594 0.7238 0.2820
14 2.0100 1.0983 0.5067 0.6113 0.7882 0.2816
16 2.0765 1.1292 0.5151 0.6566 0.8423 0.2810
18 2.1762 1.1756 0.5284 0.7304 0.9251 0.2794
20 2.2574 1.2134 0.5396 0.7945 0.9942 0.2779
22 2.3143 1.2399 0.5478 0.8420 1.0440 0.2768
24 2.3544 1.2586 0.5537 0.8774 1.0776 0.2756
26 2.4173 1.2879 0.5632 0.9343 1.1328 0.2740
28 2.4816 1.3178 0.5733 0.9958 1.1938 0.2726
30 2.5625 1.3556 0.5864 1.0774 1.2746 0.2710
32 2.5930 1.3698 0.5916 1.1104 1.3066 0.2703
34 2.6238 1.3841 0.5968 1.1435 1.3391 0.2697
36 2.6622 1.4021 0.6035 1.1867 1.3804 0.2689
38 2.7080 1.4234 0.6116 1.2395 1.4309 0.2679
40 2.7481 1.4422 0.6190 1.2875 1.4773 0.2672
42 2.7852 1.4595 0.6259 1.3335 1.5203 0.2664
44 2.8026 1.4676 0.6292 1.3553 1.5400 0.2659
46 2.8319 1.4813 0.6348 1.3929 1.5747 0.2653
48 2.8743 1.5011 0.6431 1.4492 1.6278 0.2645
54 2.9213 1.5231 0.6526 1.5142 1.6866 0.2635
64 3.0577 1.5869 0.6816 1.7162 1.8624 0.2602
74 3.1652 1.6372 0.7062 1.8929 2.0224 0.2583
84 3.2739 1.6882 0.7328 2.0882 2.1970 0.2563
94 3.3792 1.7376 0.7605 2.2962 2.3851 0.2547
114 3.4479 1.7699 0.7796 2.4425 2.5087 0.2533
144 3.6737 1.8764 0.8489 2.9890 2.9899 0.2500
174 3.8457 1.9582 0.9085 3.4835 3.3948 0.2468
200 3.8700 1.9700 0.9170 3.5585 3.4524 0.2463
