Depth(m) Kohnen_porosity Diez_porosity YanYang_P_porosity YanYang_S_porosity
0 0.6220 0.6314 0.6044 0.6059
2 0.5362 0.4856 0.5328 0.4866
4 0.5071 0.4567 0.5089 0.4637
6 0.4823 0.4364 0.4885 0.4480
8 0.4601 0.4200 0.4702 0.4351
10 0.4398 0.4062 0.4537 0.4244
12 0.4217 0.3941 0.4388 0.4150
14 0.4054 0.3832 0.4252 0.4066
16 0.3906 0.3735 0.4131 0.3990
18 0.3772 0.3645 0.4019 0.3918
20 0.3651 0.3561 0.3919 0.3853
22 0.3541 0.3480 0.3827 0.3794
24 0.3438 0.3403 0.3743 0.3735
26 0.3344 0.3329 0.3663 0.3679
28 0.3257 0.3256 0.3587 0.3623
30 0.3174 0.3185 0.3517 0.3568
32 0.3098 0.3119 0.3454 0.3516
34 0.3027 0.3053 0.3392 0.3464
36 0.2957 0.2988 0.3335 0.3416
38 0.2891 0.2926 0.3279 0.3368
40 0.2829 0.2864 0.3225 0.3320
42 0.2776 0.2803 0.3178 0.3273
44 0.2720 0.2745 0.3127 0.3226
46 0.2665 0.2687 0.3080 0.3181
48 0.2611 0.2628 0.3035 0.3137
54 0.2460 0.2456 0.2902 0.3009
64 0.2235 0.2196 0.2705 0.2804
74 0.2035 0.1950 0.2525 0.2612
84 0.1842 0.1716 0.2345 0.2425
94 0.1665 0.1494 0.2181 0.2246
114 0.1333 0.1069 0.1863 0.1900
144 0.0887 0.0502 0.1403 0.1402
174 0.0510 0.0058 0.0982 0.0944
200 0.0229 0.0000 0.0622 0.0552
