Depth(m) Vp(km/s) Vs(km/s) density(g/cm3) mu(GPa) lambda(GPa) K(GPa) E(GPa) Rate Porosity
0 0.4260 0.3548 0.3631 0.0457 0.0108 0.0413 0.0742 0.0954 0.6040
2 1.2760 0.9554 0.3836 0.3501 0.1748 0.4082 0.6993 0.1665 0.5817
4 1.5060 1.0409 0.4112 0.4456 0.3503 0.6474 0.9772 0.2200 0.5516
6 1.6870 1.0964 0.4325 0.5200 0.5017 0.8484 1.2106 0.2455 0.5284
8 1.8360 1.1386 0.4615 0.5983 0.6552 1.0541 1.4531 0.2613 0.4968
10 1.9640 1.1730 0.4722 0.6497 0.7659 1.1990 1.6132 0.2705 0.4851
12 2.0730 1.2020 0.4968 0.7179 0.8907 1.3693 1.8132 0.2768 0.4583
14 2.1660 1.2273 0.5067 0.7633 0.9857 1.4946 1.9526 0.2818 0.4475
16 2.2470 1.2495 0.5151 0.8042 1.0661 1.6022 2.0758 0.2850 0.4383
18 2.3180 1.2695 0.5284 0.8516 1.1485 1.7162 2.2133 0.2871 0.4238
20 2.3800 1.2877 0.5396 0.8946 1.2205 1.8169 2.3356 0.2885 0.4116
22 2.4350 1.3045 0.5478 0.9322 1.2846 1.9061 2.4420 0.2897 0.4026
24 2.4850 1.3205 0.5537 0.9654 1.3401 1.9837 2.5355 0.2906 0.3962
26 2.5300 1.3357 0.5632 1.0047 1.4020 2.0718 2.6434 0.2913 0.3858
28 2.5710 1.3502 0.5733 1.0452 1.4629 2.1597 2.7530 0.2917 0.3748
30 2.6090 1.3639 0.5864 1.0910 1.5302 2.2575 2.8749 0.2919 0.3605
32 2.6430 1.3771 0.5916 1.1218 1.5792 2.3271 2.9590 0.2923 0.3549
34 2.6750 1.3898 0.5968 1.1528 1.6255 2.3940 3.0425 0.2925 0.3492
36 2.7050 1.4020 0.6035 1.1861 1.6729 2.4636 3.1310 0.2925 0.3419
38 2.7330 1.4138 0.6116 1.2224 1.7234 2.5383 3.2264 0.2925 0.3331
40 2.7590 1.4248 0.6190 1.2566 1.7717 2.6094 3.3169 0.2925 0.3250
42 2.7830 1.4356 0.6259 1.2898 1.8170 2.6769 3.4041 0.2925 0.3175
44 2.8070 1.4463 0.6292 1.3162 1.8508 2.7283 3.4718 0.2922 0.3139
46 2.8290 1.4567 0.6348 1.3470 1.8908 2.7888 3.5512 0.2920 0.3078
48 2.8510 1.4668 0.6431 1.3836 1.9372 2.8596 3.6448 0.2917 0.2987
54 2.9120 1.4958 0.6526 1.4601 2.0253 2.9987 3.8362 0.2905 0.2883
64 2.9990 1.5386 0.6816 1.6137 2.2084 3.2842 4.2189 0.2889 0.2567
74 3.0750 1.5772 0.7062 1.7567 2.3734 3.5445 4.5709 0.2873 0.2299
84 3.1460 1.6130 0.7328 1.9066 2.5439 3.8150 4.9420 0.2858 0.2009
94 3.2090 1.6455 0.7605 2.0592 2.7135 4.0863 5.3140 0.2843 0.1707
114 3.3250 1.7051 0.7796 2.2669 2.9405 4.4518 5.8173 0.2823 0.1499
144 3.4770 1.7831 0.8489 2.6993 3.4143 5.2138 6.8626 0.2792 0.0743
174 3.6050 1.8487 0.9085 3.1044 3.8552 5.9248 7.8439 0.2769 0.0093
200 3.7060 1.9006 0.9170 3.3129 4.0663 6.2749 8.3430 0.2755 0.0000
